día,precio de cierre ajustado,cambio de precio,dia,precio final,cambio,mes,dia,precio final,cambio,,,,día,precio de cierre,cambio de precio
238,1296.3,7.5,,,,,,,,,,,,,
239,1307.5,11.2,,,,,,,,,,,,,
240,1293.4,-14.1,,,,,,,,,,,,,
241,1301.8,8.4,,,,,,,,,,,,,
242,1300.3,-1.5,,,,,,,,,,,,,
243,1305,4.7,,,,,,,,,,,,,
244,1300.5,-4.5,,,,,,,,,,,,,
245,1306.1,5.6,,,,,,,,,,,,,
246,1311.6,5.5,,,,,,,,,,,,,
247,1321.9,10.3,,,,,,,,,,,,,
248,1314.3,-7.6,,,,,,,,,,,,,
249,1309.9,-4.4,,,,,,,,,,,,,
250,1289.8,-20.1,,,,,,,,,,,,,
251,1293,3.2,,,,,,,,,,,,,
252,1288.4,-4.6,,,,,,,,,,,,,
253,1290,1.6,,,,,,,,,,,,,
254,1289.9,-0.1,,,,,,,,,,,,,
255,1289,-0.9,,,,,,,,,,,,,
256,1290.4,1.4,,,,,,,,,,,,,
257,1297.1,6.7,,,,,,,,,,,,,
258,1303.5,6.4,,,,,,,,,,,,,
259,1309.1,5.6,,,,,,,,,,,,,
260,1288.6,-20.5,,,,,,,,,,,,,
261,1290.6,2,,,,,,,,,,,,,
262,1286.8,-3.8,,,,,,,,,,,,,
263,1272.6,-14.2,,,,,,,,,,,,,
264,1272.2,-0.4,,,,,,,,,,,,,
265,1271.9,-0.3,,,,,,,,,,,,,
266,1273.5,1.6,,,,,,,,,,,,,
267,1269.3,-4.2,,,,,,,,,,,,,
268,1275.5,6.2,,,,,,,,,,,,,
269,1275.8,0.3,,,,,,,,,,,,,
270,1284.9,9.1,,,,,,,,,,,,,
271,1278.6,-6.3,,,,,,,,,,,,,
272,1282.8,4.2,,,,,,,,,,,,,
273,1281.4,-1.4,,,,,,,,,,,,,
274,1269.7,-11.7,,,,,,,,,,,,,
275,1279.2,9.5,,,,,,,,,,,,,
276,1281.7,2.5,,,,,,,,,,,,,
277,1283.5,1.8,,,,,,,,,,,,,
278,1279.4,-4.1,,,,,,,,,,,,,
279,1283.5,4.1,,,,,,,,,,,,,
280,1285.7,2.2,,,,,,,,,,,,,
281,1300.1,14.4,,,,,,,,,,,,,
282,1294.7,-5.4,,,,,,,,,,,,,
283,1296.3,1.6,,,,,,,,,,,,,
284,1285,-11.3,,,,,,,,,,,,,
285,1274.5,-10.5,,,,,,,,,,,,,
286,1276.1,1.6,,,,,,,,,,,,,
287,1272,-4.1,,,,,,,,,,,,,
288,1273.6,1.6,,,,,,,,,,,,,
289,1284.8,11.2,,,,,,,,,,,,,
290,1283,-1.8,,,,,,,,,,,,,
291,1276.5,-6.5,,,,,,,,,,,,,
292,1280.6,4.1,,,,,,,,,,,,,
293,1287.1,6.5,,,,,,,,,,,,,
294,1305.8,18.7,,,,,,,,,,,,,
295,1322.7,16.9,,,,,,,,,,,,,
296,1323.4,0.7,,,,,,,,,,,,,
297,1328.3,4.9,,,,,,,,,,,,,
298,1337.6,9.3,,,,,,,,,,,,,
299,1341.2,3.6,,,,,,,,,,,,,
300,1324.7,-16.5,,,,,,,,,,,,,
301,1326.4,1.7,,,,,,,,,,,,,
302,1331.9,5.5,,,,,,,,,,,,,
303,1339.2,7.3,,,,,,,,,,,,,
304,1340.1,0.9,,,,,,,,,,,,,
305,1338.7,-1.4,,,,,,,,,,,,,
306,1346.6,7.9,,,,,,,,,,,,,
307,1344.6,-2,,,,,,,,,,,,,
308,1392.9,48.3,,,,,,,,,,,,,
309,1396.2,3.3,,,,,,,,,,,,,
310,1414.3,18.1,,,,,,,,,,,,,
311,1414.9,0.6,,,,,,,,,,,,,
312,1411.6,-3.3,,,,,,,,,,,,,
313,1408.4,-3.2,,,,,,,,,,,,,
314,1409.7,1.3,,,,,,,,,,,,,
315,1385.6,-24.1,,,,,,,,,,,,,
316,1404.6,19,,,,,,,,,,,,,
317,1417.7,13.1,,,,,,,,,,,,,
318,1396.7,-21,,,,,,,,,,,,,
319,1397,0.3,,,,,,,,,,,,,
320,1397.5,0.5,,,,,,,,,,,,,
321,1410.1,12.6,,,,,,,,,,,,,
